HIP	HD	2MASS	Fe	Eu	EuII	
93746 	177830 		0.47 	0.87 	0.73 	
97336 	187123 	19465809+3425105 	0.1 	0.74 	0.19 	
99711 	192263 		0.04 	0.09 	0.22 	
26380 	38283 	05370199-7341574 	-0.21 	-0.22 		
42282 	73526 	08371648-4119092 	0.25 	0.255 		
43686 	76700 	08535550-6648034 	0.377 	0.33 		
6379 	7924 	01215911+7642372 	-0.205 	-0.18 	0.41 	
17960 	24040 	03502296+1728349 	0.2 	0.85 	0.91 	
29432 	42618 	06120056+0646592 	-0.08 	0.02 	0.67 	
30860 	45350 	06284571+3857469 	0.29 	0.83 	0.57 	
32916 	49674 	06513051+4052041 	0.31 	0.82 	0.56 	
40687 	68988 	08182216+6127387 	0.332 	0.82 	0.55 	
49699 	87883 	10084315+3414322 	0.07 	0.02 	0.9 	
54906 	97658 	11143316+2542374 	-0.265 	-0.13 	0.54 	
83389 	154345 	17023639+4704540 	-0.105 	-0.06 		
88348 	164922 	18023085+2618471 	0.07 	0.14 		
95740 	183263 	19282457+0821290 	0.3 	0.54 	0.48 	
97769 	188015 	19520455+2806015 	0.275 	0.8 	0.46 	
26664 	37605 	05400172+0603381 	0.2575 	0.65 	0.65 	
49813 	88133 	10100767+1811132 	0.3125 	0.66 	0.45 	
77655 	142091 	15511394+3539264 	0.1 	0.19 	0.39 	
81022 	149143 	16325104+0205053 	0.263 	0.88 	0.36 	
98505 	189733 	20004370+2242391 	0.01 	0.02 	0.09 	
109577 	210702 	22115133+1602260 	0.06 	0.29 	0.17 	
94931 		19190052+4138043 	-0.54 	-0.52 	0.62 	
46076 	81040 	09234707+2021520 	-0.04 	0.5 	0.15 	
66903 	120084 	13423920+7803521 	0.09 	0.06 		
9884 	12929 	02071038+2327447 	-0.195 	-0.04 	-0.08 	
75049 	136512 	15200853+2936584 	-0.205 	-0.02 	-0.03 	
84607 	156668 	17174049+2913378 	-0.07 	-0.02 		
11791 	15779 	02320943-0102055 	0.035 	0.14 		
12247 	16400 	02374179-0323462 	-0.03 	-0.02 		
90344 	170693 	18255915+6533486 	-0.37 	-0.31 	-0.32 	
114855 	219449 		0.04 	0.05 	0.09 	
116076 	221345 	23311742+3914102 	-0.26 	-0.24 	-0.07 	
116221 	221585 	23325401+6309198 	0.3 	0.76 	0.68 	
20889 	28305 	04283697+1910494 	0.15 	0.27 		
42527 	73108 	08401279+6419405 	-0.17 	-0.07 		
46471 	81688 		-0.315 	-0.24 		
50786 	89744 	10221057+4113466 	0.23 	0.346 	0.19 	
31688 	47536 		-0.545 	-0.63 		
36616 	59686 	07314838+1705099 	0.155 	0.17 		
58952 	104985 	12051510+7654205 	-0.32 	-0.15 		
3834 	4732 	00491393-2408119 	0.05 	0.09 	0.05 	
39311 	66141 	08021594+0220044 	-0.385 	-0.36 		
50583 	89484 		-0.34 	-0.33 		
60202 	107383 	12204305+1747341 	-0.31 	-0.26 	-0.13 	
61740 	110014 		0.275 	0.15 		
77578 	141680 	15501756+0211473 	-0.13 	-0.19 	-0.07 	
88048 	163917 	17590160-0946249 	0.13 	0.16 		
103527 	199665 	20582594+1050214 	0.07 	0.26 		
48455 	85503 	09524585+2600248 	0.245 	0.34 	0.48 	
13291 	17674 	02510426+3017124 	-0.14 	-0.16 		
116616 	222155 	23380027+4859475 	-0.18 	0.05 	0.51 	
2611 	2952 	00331038+5453419 		0.11 		
24275 	33844 	05123609-1457039 	0.21 	0.22 	0.25 	
21421 	29139 	04355524+1630331 	-0.305 	-1.59 		
72607 	131873 	14504235+7409199 	-0.21 	-0.01 		
56508 	100655 	11350375+2026295 	0.06 	0.09 		
76311 	139357 	15351620+5355195 	0.34 	0.17 		
78159 	143107 	15573523+2652400 	-0.18 	-0.07 		
68469 	122303 	14010324-0239180 		-0.95 	2.14 	
12184 	16232 	02365772+2438530 	0.22 	1.57 	1.24 	
21547 	29391 	04373613-0228248 	0.23 	2.0 		
44291 	77338 	09011248-2531371 	0.345 	0.39 		
115714 	220842 	23263697+5653115 	-0.2 	-0.05 		
111944 	214868 	22403085+4416345 	-0.235 	-0.14 		
92512 	175306 		-0.55 	-0.28 		
85805 	159966 	17315788+6808060 	-0.14 	-0.11 	-0.02 	
88788 	166208 	18072872+4327429 		0.25 		
58331 	103891 	11574530-0832554 	-0.25 	-0.09 		
58813 	104760 	12034630-4407220 	0.095 	0.62 		
58950 	104982 	12051337-2843013 	-0.22 	-0.12 	0.21 	
58962 	105004 	12052488-2635432 	-0.82 	-0.2 	-0.655 	
59532 	106116 	12122888-0305045 	0.13 	0.47 	0.68 	
60591 	108063 	12250851-4230515 	0.52 	1.54 		
60729 	108309 	12264817-4854472 	0.1 	-0.065 	0.085 	
61379 	109409 	12344240-4440227 	0.3 	0.36 		
61940 	110291 	12413773-5638002 	-4.26742e-16 	0.59 		
62345 	111031 	12463084-1148448 	0.24 	0.32 		
62607 	111515 	12494483+0111167 	-0.61 	-0.34 	-0.43 	
8548 	11226 	01501542-0642149 	0.01 	0.043 		
64475 	114747 	13125431-3042423 	0.18 	0.91 		
64550 	114853 	13135221-4511090 	-0.25 	-0.27 		
8798 	11505 	01530619-0119371 	-0.23 	-0.05 	-0.08 	
65737 	117105 	13283057-2723311 	-0.32 	-0.13 		
66815 	119173 	13414270-0401457 	-0.6 	-0.43 		
67069 	119638 	13444459-1413303 	-0.18 	-0.104 		
69090 	122862 	14082713-7451010 	-0.15 	-0.103 		
9404 	12345 	02004876-1252297 	-0.24 	0.4 		
9381 	12387 	02003210-4043523 	-0.27 	-0.29 	-0.03 	
69414 	124292 	14124525-0319120 	-0.14 	0.42 	0.56 	
69972 	125072 	14190485-5922447 	0.27 	0.54 		
69881 	125184 	14180071-0732325 	0.31 	0.365 	0.45 	
70459 	125881 	14244597-6342237 	0.03 	0.123 		
70695 	126525 	14273298-5155591 	-0.115 	-0.1 		
72134 	129829 	14451865-1800101 	-0.19 	0.46 	0.13 	
74273 	134060 	15104473-6125204 	0.11 	0.0415 		
74067 	134088 	15081258-0754471 	-0.78 	-0.41 	-0.44 	
74033 	134113 	15074648+0852472 	-0.76 	-0.49 		
74234 	134440 		-1.39 	-1.12 		
74653 	134606 	15151504-7031105 	0.24 	0.32 		
74389 	134664 	15121033-3053104 	0.07 	0.15 	0.11 	
10278 	13724 	02122068-4648588 	0.2 	0.24 		
1444 	1388 	00175884-1327204 	-0.03 	0.032 	0.25 	
77358 	140901 	15472911-3754587 	0.09 	0.095 		
78330 	143114 	15593827-2937570 	-0.44 	-0.28 	-0.12 	
10818 	14374 	02191603-0046473 	-0.07 	0.04 	1.06 	
78955 	144585 	16070340-1404166 	0.3 	0.63 	0.3 	
79190 	144628 	16094280-5626430 	-0.375 	0.12 		
79636 	145666 	16150419-5622281 	-0.07 	-0.007 		
79524 	145809 	16134035-2123598 	-0.28 	-0.12 		
79672 	146233 	16153726-0822096 	0.03 	0.17 	0.23 	
80837 	148816 	16302844+0410411 	-0.74 	-0.53 		
81580 	150177 	16393912-0933164 	-0.585 	-0.31 	-0.46 	
81681 	150433 	16410822-0251258 	-0.38 	-0.09 		
83906 	154962 	17085452-0352584 	0.29 	0.625 	0.49 	
85158 	157338 	17240873-3447541 	-0.11 	-0.066 		
85042 	157347 	17225127-0223173 	0.02 	0.39 	0.27 	
1599 	1581 	00200446-6452282 	-0.21 	-0.083 		
86765 	161098 	17434426-0355042 	-0.27 	-0.01 	0.57 	
87116 	161612 	17475757-3401070 	0.13 	-0.02 		
90223 	168871 	18243314-4939104 	-0.12 	-0.013 		
91287 	171665 	18371283-2540163 	-0.08 	-0.01 		
92233 	171990 	18474919-7752057 	0.03 	0.088 	0.14 	
92781 	175179 	18542319-0436183 	-0.66 	-0.39 	-0.28 	
