,maximum,mean,mean+sigma,mean-sigma,minimum,time
45,3690666.41399,1629898.12829,2336898.49153,922897.765056,187705.787055,1260000000.0
46,5371550.48501,2353088.59754,3382336.79338,1323840.40171,266477.737266,1288000000.0
47,6957458.01209,3070881.98747,4402654.02308,1739109.95186,353509.765566,1316000000.0
48,5932892.54892,2704924.11859,3845427.75017,1564420.48701,328456.876906,1344000000.0
49,3944886.99424,1813043.80518,2565931.09199,1060156.51837,225555.462575,1372000000.0
50,2991256.5705,1353072.76619,1924804.67116,781340.86122,163439.126217,1400000000.0
51,4526362.85159,1973361.82897,2842011.03204,1104712.6259,219655.458942,1428000000.0
52,4205285.46129,1902233.87653,2705903.10744,1098564.64562,229895.426928,1456000000.0
53,4559787.09276,2022010.8712,2895155.87199,1148865.87042,234421.127131,1484000000.0
54,4947612.56751,2203912.50754,3150917.46148,1256907.5536,258039.464801,1512000000.0
55,5098950.42006,2276362.22809,3251865.5158,1300858.94038,267848.934439,1540000000.0
56,4495286.40342,2029033.97455,2888822.72419,1169245.22491,243940.856845,1568000000.0
57,5210012.36814,2313105.39914,3315717.28651,1310493.51177,266188.105993,1596000000.0
58,6150711.25353,2729302.36459,3907159.71639,1551445.0128,316832.523762,1624000000.0
59,7223118.28091,3201938.91458,4584653.55346,1819224.27571,371129.430826,1652000000.0
60,6113301.09282,2771658.92135,3939497.82078,1603820.02192,336817.247184,1680000000.0
61,5356837.97094,2406590.47528,3431183.83916,1381997.11141,286864.385863,1708000000.0
62,4357773.74289,1975140.10922,2808392.742,1141887.47644,239417.169693,1736000000.0
63,4376098.21214,1948912.73611,2786459.77087,1111365.70135,228022.271255,1764000000.0
64,4426728.03347,1987444.57671,2839603.61606,1135285.53736,234472.515368,1792000000.0
65,4712721.81588,2098073.80695,3001487.21891,1194660.395,245705.075852,1820000000.0
66,5529523.44234,2449040.56141,3509799.98164,1388281.14118,283637.836367,1848000000.0
67,6591943.49981,2920781.52011,4183864.54709,1657698.49313,338423.043732,1876000000.0
68,10680576.7088,4658341.84917,6708055.35865,2608628.33969,522363.090012,1904000000.0
69,14098382.5072,6226411.24807,8924757.07889,3528065.41726,718052.985813,1932000000.0
70,8052586.07126,3815506.97479,5353876.15908,2277137.79051,491894.892014,1960000000.0
71,6493785.59777,2896939.65993,4139144.18674,1654735.13312,340346.958521,1988000000.0
72,6442787.12616,2882499.83625,4114913.55493,1650086.11757,340799.572957,2016000000.0
73,6868182.99392,3056396.8084,4370643.70566,1742149.91115,357030.092706,2044000000.0
74,5368086.77763,2452406.05238,3480016.7309,1424795.37385,301700.225901,2072000000.0
75,4068437.67811,1843584.17987,2620946.37513,1066221.98461,224124.475957,2100000000.0
76,4441806.73944,1967872.44562,2818567.59294,1117177.2983,227368.626902,2128000000.0
77,5281865.62228,2341465.16192,3352802.30164,1330128.0222,271060.61711,2156000000.0
78,5810053.34195,2587233.68262,3699257.80716,1475209.55807,302527.284076,2184000000.0
79,4898771.03194,2219489.94088,3155965.04331,1283014.83845,269416.780502,2212000000.0
80,4690495.63976,2094714.03043,2992200.88557,1197227.17529,246499.552606,2240000000.0
81,4009744.59063,1813589.09733,2580714.97855,1046463.21612,219159.579637,2268000000.0
82,3967344.23451,1768996.14555,2528211.70335,1009780.58774,207478.203787,2296000000.0
83,3821020.86879,1717770.99212,2450730.76514,984811.219107,203912.566703,2324000000.0
84,3659564.34733,1639622.80296,2339931.0208,939314.585129,194257.128534,2352000000.0
85,3654699.89122,1633145.383,2332647.2729,933643.493091,192364.08187,2380000000.0
86,4450394.79875,1966319.90451,2818298.07689,1114341.73213,226011.72097,2408000000.0
87,5162470.75158,2293266.77542,3281246.37806,1305287.17278,266809.440017,2436000000.0
88,5227653.55011,2339227.97441,3339707.41682,1338748.532,276410.158349,2464000000.0
89,4949912.80259,2220550.34024,3167876.16241,1273224.51808,263783.80793,2492000000.0
90,5319492.08602,2364345.56522,3382163.3772,1346527.75325,275613.697894,2520000000.0
91,7547722.59867,3309889.00687,4753521.11747,1866256.89627,374900.155311,2548000000.0
92,10614044.9733,4678499.89011,6712956.53853,2644043.24169,533616.287352,2576000000.0
93,8173199.41831,3747247.37283,5311310.67492,2183184.07075,465233.622496,2604000000.0
94,6051507.42797,2741551.03752,3900070.72458,1583031.35046,332201.176515,2632000000.0
95,5406871.93799,2425989.07477,3460974.14619,1391004.00334,288278.389344,2660000000.0
96,5113587.77704,2292624.03575,3271541.11071,1313706.9608,271852.259597,2688000000.0
97,4842172.62679,2175949.89262,3104906.37622,1246993.40902,258041.599107,2716000000.0
98,4776573.21865,2136073.82556,3050260.86503,1221886.78609,252034.825111,2744000000.0
99,4697020.38352,2102206.93468,3001231.8099,1203182.05945,248427.158014,2772000000.0
100,5143781.44742,2285540.8135,3269843.16383,1301238.46317,266180.42242,2800000000.0
101,4872566.47197,2190686.68397,3123584.47731,1257788.89063,261242.399931,2828000000.0
102,4910364.89392,2190630.66558,3130413.32723,1250848.00393,257219.069606,2856000000.0
103,5659035.42338,2508425.38031,3591037.76471,1425812.99592,290826.459004,2884000000.0
104,5226310.41783,2356052.27555,3356997.70257,1355106.84854,282349.69172,2912000000.0
105,4604706.54097,2072178.29236,2953920.06637,1190436.51835,247447.717226,2940000000.0
106,4911422.69179,2182476.61621,3122236.41686,1242716.81556,254302.929572,2968000000.0
107,5055610.34394,2259543.36034,3227212.44333,1291874.27734,266340.491031,2996000000.0
108,5063525.18984,2263688.86579,3232947.41135,1294430.32022,266931.5911,3024000000.0
109,4888429.01098,2191097.37503,3127010.66999,1255184.08007,259607.904728,3052000000.0
110,5117144.81236,2278901.98284,3258068.40248,1299735.5632,266793.574849,3080000000.0
111,5270703.437,2354076.2689,3362938.04609,1345214.49171,277104.212049,3108000000.0
112,4871327.535,2191424.55438,3124511.09988,1258338.00888,261323.01996,3136000000.0
113,4649907.53769,2082115.11741,2972484.81914,1191745.41568,246218.394759,3164000000.0
114,4717159.7932,2105984.06032,3008782.29402,1203185.82662,247668.846715,3192000000.0
115,4429764.16348,1990773.33116,2839212.83947,1142333.82284,236917.750318,3220000000.0
116,4379182.49504,1956677.55922,2794961.75579,1118393.36264,230443.25498,3248000000.0
117,4555679.30136,2031565.45541,2903415.85533,1159715.05548,238421.343571,3276000000.0
118,4173594.1555,1880133.25258,2679834.27201,1080432.23315,224637.562539,3304000000.0
119,4056162.4308,1813380.49289,2589854.5987,1036906.38708,213773.4712,3332000000.0
120,4189422.16029,1868907.70282,2670702.65969,1067112.74594,219469.849947,3360000000.0
121,4270911.97907,1908222.5149,2725749.6445,1090695.38529,224704.865224,3388000000.0
122,4056956.64165,1821410.56395,2598552.34671,1044268.7812,216313.934492,3416000000.0
123,4168214.37911,1857877.20743,2655484.23523,1060270.17963,217863.784334,3444000000.0
124,4097734.77424,1836242.64352,2621012.36482,1051472.92222,217341.822833,3472000000.0
125,4189350.56857,1868948.46028,2670668.3039,1067228.61665,219513.095746,3500000000.0
