,t=14.00Gyr,t=9.50Gyr
0,13.5479148978,12.4595081913
1,16.216019489,14.9317602046
2,9.29564458203,8.54333326788
3,20.5626094812,18.8668846673
4,5.93132033703,5.40836999879
5,12.0361456898,11.0903719294
6,5.54003766196,5.05628755917
7,29.8562418863,27.391022958
8,14.3330418451,13.1813404992
9,11.5673618058,10.6438003576
10,9.22659961857,8.51067541649
11,19.7024233939,18.1032326651
12,17.6021936544,16.1633434765
13,20.1216321464,18.443229953
14,11.9580328378,10.9905153462
15,5.93644552404,5.41422801092
16,14.9525905325,13.7258195993
17,11.89809735,10.9371267949
18,19.3899410894,17.8121539475
19,18.3092494088,16.7784124843
20,5.60507991207,5.12061768423
21,17.4761265879,16.056210472
22,11.7553380109,10.8430844904
23,7.44948965577,6.79327377194
24,32.3427435047,29.6865908007
25,19.3906317574,17.8108557565
26,14.6805366818,13.4736949054
27,11.8062352955,10.859429119
28,8.22450965272,7.51332212955
29,6.43887280591,5.86828414717
30,12.3935727236,11.4126669532
31,16.0028154029,14.7016071116
32,31.1541899653,28.5718297185
33,19.2596506661,17.7117018901
34,9.27408844815,8.48466842864
35,9.76937960099,8.92798509292
36,9.59228095845,8.85019689034
37,9.76883280165,8.9076943144
38,11.7570828932,10.7531810609
39,3.45843231106,3.14610066734
40,18.917915435,17.4120851948
41,14.8409910896,13.641315865
42,9.9641873829,9.07717437978
43,7.96512441367,7.26420252748
44,11.1937291294,10.3279286922
45,23.7104806374,21.768491014
46,5.68711561426,5.18166178683
47,4.00841534671,3.65539351591
48,19.2243424721,17.6381202721
49,12.5726830928,11.5651486928
50,19.4837689698,17.8547981428
51,11.8755926057,10.9214551854
52,27.7103764878,25.4523859735
53,5.33055964498,4.85155280435
54,3.28715156386,2.98535451629
55,6.27335391771,5.72165075218
56,7.48299108608,6.83599656816
57,8.61406746074,7.86203081195
58,5.97642419996,5.51226100058
59,8.86075768481,8.17337945896
60,6.014102233,5.48070830521
61,8.20369314595,7.48855181351
62,21.0441462319,19.2934773078
63,16.759900407,15.4426381133
64,15.8946978993,14.6192821918
65,6.26591801679,5.70910590061
66,4.6509136812,4.23238537078
67,19.7189358912,18.0738808582
68,16.1101926698,14.8003667744
69,12.3194989685,11.3510288376
70,10.768079326,9.8883924762
71,6.64525797743,6.12649257661
72,30.6364461251,28.0975876738
73,29.4245004017,26.9788436986
74,4.96499603194,4.51837492534
75,15.9550128092,14.6741596373
76,10.2516832689,9.45515913221
77,13.9729864566,12.8578104765
78,16.8493333853,15.5227171186
79,6.21842033466,5.66530896396
80,11.2306353341,10.3092379239
81,27.496851489,25.2545392824
82,13.6502167727,12.5587827573
83,15.8327998535,14.5505976757
84,11.1241935676,10.1673617248
85,7.95853046684,7.26654213701
86,16.9358611268,15.5789970578
87,10.9086967229,10.0592090624
88,14.9484808298,13.7545138241
89,10.0116534435,9.1445628181
90,9.09166159833,8.29187810792
91,15.3106834912,14.100598743
92,14.1718595102,12.9914512105
93,11.7678240914,10.8262414741
94,4.20125140179,3.80937485653
95,7.90602296049,7.29470729107
96,32.085474154,29.4227418252
97,13.9825129847,12.8301953918
98,4.56085576392,4.16124800905
99,13.5975090769,12.4762835709
100,12.965482549,11.9424005758
101,20.3833621197,18.7274323723
102,10.1335827826,9.34458641637
103,22.1289744468,20.3124752449
104,16.4949038535,15.1550666339
105,8.73630525556,8.05273742513
106,15.797757692,14.5168706538
107,8.45950783765,7.77427584375
108,17.9856894924,16.508479595
109,23.6924790917,21.7162314261
110,22.6285868395,20.7448782458
111,11.2132376525,10.3154021667
112,16.9201716237,15.5551477
113,6.84369751142,6.24781173325
114,3.8406364982,3.507436697
115,15.1479162218,13.8926704561
116,9.11850440094,8.38659935811
117,34.7471767168,31.8689050289
118,17.5730209721,16.1735573504
119,6.21685308237,5.72055650604
120,13.9195662477,12.7997078423
121,5.72678135542,5.22440272263
122,12.547060513,11.4790012914
123,18.2914696882,16.7827786137
124,14.3572557408,13.236661797
125,8.7937312851,8.11312004242
126,10.7138158127,9.87669476719
127,8.19861644385,7.48269546278
128,13.1863777151,12.0935925351
129,11.4292470083,10.5220257097
130,3.24922299711,2.95321755621
131,27.9023059,25.5902234817
132,8.46412297494,7.80618822468
133,9.04879598777,8.26150122391
134,8.55584613428,7.79496619384
135,16.9767842041,15.6087929277
136,24.3589647034,22.3779270243
137,12.6655751629,11.6513629929
138,21.6314660008,19.8511834572
139,2.95457067856,2.69040326982
140,16.2556205713,14.9377453892
141,12.7115178074,11.705125625
142,11.8696957307,10.9250579053
143,5.69192341607,5.2511438858
144,9.39881221201,8.66468971619
145,6.50978179493,5.92634907794
146,13.6390903982,12.5589214241
147,5.69152340278,5.18942371234
148,2.64488874275,2.40546957486
149,17.3356541607,15.9293550333
150,13.0239664477,11.9309095061
151,8.86597917787,8.08304153055
152,7.60398398525,6.92985654459
153,5.84483144538,5.33390357367
154,16.4324418555,15.0904028574
155,14.9971951644,13.7562957738
156,8.11952399505,7.42168739899
157,14.8008792868,13.5948246513
158,8.88960604836,8.11662208824
159,14.4649919964,13.3160635265
160,31.0336397031,28.4453416681
161,13.6504645834,12.5805388007
162,10.403719031,9.5493544735
163,8.34852501626,7.69593640747
164,11.3805885597,10.4696231065
165,17.0306784604,15.6767194409
166,27.9578659804,25.6400607176
167,10.6341346936,9.71423079247
168,5.77557274909,5.32295481892
169,12.442713432,11.417770891
170,9.85098391092,9.08006562174
171,4.24550306964,3.8674241421
172,8.27217218424,7.5449530401
173,8.89369652646,8.2036044995
174,24.7127629879,22.6479995768
175,14.2575207304,13.1031255429
176,8.59977506087,7.85041724166
177,29.1887866161,26.7671941934
178,7.43449499023,6.85807819247
179,11.6534431517,10.7069490642
180,14.3834334147,13.1890969516
181,6.7424691639,6.15278992601
182,13.9921948273,12.8893937556
183,18.8795654374,17.3367062676
184,33.0690467046,30.3350135945
185,6.43147884964,5.87043538455
186,13.113261845,12.0911049942
187,31.1196702121,28.5682866599
188,14.2751698164,13.1506081604
189,15.8680168441,14.568645305
190,9.10119009022,8.31738107375
191,14.4340000352,13.2230460815
192,15.1561882174,13.9020607733
193,4.85396788302,4.4218640361
194,7.89054080005,7.20223920547
195,20.840214011,19.1340613653
196,17.1114643096,15.7319977397
197,15.4191532972,14.2205573263
198,4.75033162118,4.31422821964
199,9.66751476633,8.91915255111
200,10.5680912678,9.6629160885
201,7.85037460983,7.24249497167
202,15.5171493889,14.2243772145
203,21.0980109694,19.3841477934
204,16.1231982894,14.8195313264
205,4.35697099962,3.97064127529
206,18.4917475351,17.004779402
207,11.6088126241,10.6140206097
208,10.1681841441,9.36008145857
209,8.13363436073,7.49364614111
210,18.2731078467,16.7728527223
211,7.82446322331,7.13592282842
212,7.32320319933,6.67386481489
213,6.71838700822,6.11595940557
214,13.8896431105,12.7593298802
215,11.1640037853,10.2748205571
216,9.8739329525,9.01236619064
217,11.2914020671,10.3891630337
218,41.1268039746,37.7105462066
219,12.7752453445,11.7737331395
220,13.7452161074,12.6368762185
221,11.9481234802,11.0081770085
222,17.3766840327,15.9339339212
223,4.3525236615,3.95009528256
224,9.33563465588,8.6049633265
225,6.40665924537,5.83892982071
226,18.5808616389,17.0860436222
227,6.95061588283,6.35233887363
228,30.031231938,27.5327460111
229,24.6163045411,22.5643923033
230,14.5704563345,13.4180520245
231,6.56363308778,5.9813863347
232,6.57738389054,6.00934603653
233,23.8460551515,21.8649345631
234,10.804732895,9.96891161727
235,8.73274370913,7.96679346463
236,9.28451655564,8.54449626385
237,21.0253551759,19.282777077
238,5.93365520388,5.41595876717
239,8.46085883162,7.70965852182
240,22.8091577872,20.9381126472
241,15.0737330719,13.8892199008
242,8.024498935,7.33736489623
243,25.0709184819,22.9809427575
244,15.0796697093,13.8459446
245,9.02865013412,8.25756812345
246,9.93213469489,9.16402085217
247,5.12585535797,4.66187455314
248,18.149449857,16.6314679831
249,12.9505345456,11.928461254
250,4.10704228289,3.73423453579
251,12.237918592,11.2864136243
252,14.8574215937,13.640776702
253,19.2924461843,17.7090407823
254,7.6863852725,7.009335536
255,20.8609931181,19.1577487517
256,37.6419856068,34.5205573982
257,7.07137612238,6.52309959126
258,9.55181878827,8.80085910078
259,35.3492078095,32.4133137182
260,21.5837976547,19.8223702789
261,7.77265362107,7.0906462013
262,22.7821248966,20.9113149105
263,16.776007359,15.4685622262
264,9.44836768381,8.71436902928
265,17.5657886994,16.097130654
266,13.0742064002,12.026889911
267,7.91579999831,7.2251478638
268,11.3821084912,10.4931579681
269,18.4254246978,16.9618751713
270,5.61558647078,5.11367600232
271,9.46938476678,8.65437744532
272,8.54377019514,7.87861563104
273,13.0475042194,12.0287906242
274,4.6707364335,4.25329110269
275,8.50027252808,7.77335558649
276,9.75617200139,8.97085995338
277,12.5992928229,11.5699735382
278,4.77953873292,4.35348792261
279,5.54359853257,5.06549357855
280,30.998669696,28.4204035784
281,8.99764907591,8.28203241858
282,9.72467784218,8.88057352708
283,10.0306367203,9.16670877578
284,22.7537748643,20.887443763
285,27.8804330159,25.5867127594
286,17.784724875,16.3433805463
287,8.43848224895,7.70762813165
288,6.57879278684,5.99340835824
289,10.9489478841,10.0913474943
290,35.6343205351,32.6712222504
291,14.1327989762,12.9796366147
292,6.24476411325,5.69632586889
293,18.757799038,17.1996359837
294,8.1218883852,7.41987889069
295,35.5059195379,32.5600443227
296,9.60972286905,8.77277565278
297,20.8266322542,19.0825628279
298,15.7241274404,14.4512822915
299,8.44277821,7.76164710102
300,3.88112951569,3.52833610753
301,22.2176608813,20.4393655769
302,10.2518706326,9.42821025565
303,20.4472842627,18.7896676118
304,40.498680871,37.1463696612
305,7.01315214086,6.4049976834
306,10.1650273947,9.36802416654
307,4.25480049478,3.86333350726
308,8.61567875717,7.8728011637
309,8.37936526159,7.64117252697
310,7.1288573223,6.50371766509
311,5.78814561947,5.28737341266
312,5.03726120683,4.60363621089
313,23.212584805,21.2651545869
314,24.4597711083,22.4113852412
315,11.5473308709,10.6545020634
316,6.4758225443,5.90372054694
317,17.417830207,15.9944093818
318,8.74954085522,8.04535007064
319,8.74152981926,8.04174212239
320,15.1369052718,13.9099587282
321,18.6060271315,17.0720240931
322,8.06964527406,7.37682383045
323,3.56861861125,3.24701746654
324,8.59942995533,7.93156341427
325,6.26500171751,5.71213397575
326,26.7419997774,24.5109163072
327,21.9054167965,20.1257877022
328,18.9153356919,17.3885570082
329,15.7806377404,14.5196354073
330,12.1795230141,11.2110412875
331,10.2539934117,9.44659795418
332,13.99064714,12.9059704151
333,8.57386260114,7.91060024136
334,6.3789375094,5.82303770659
335,29.1112906356,26.6893692819
336,5.56988282029,5.08500831292
337,11.3658442131,10.3850828156
338,11.5578884004,10.622705148
339,11.0914981512,10.1423010108
340,7.06889486378,6.44905907225
341,9.45908960649,8.6982525697
342,19.0333127115,17.4243068006
343,20.973885926,19.2432418195
344,7.51633501531,6.84958760549
345,24.8518327419,22.7821043496
346,3.64720768073,3.31508711488
347,14.9620220373,13.7604103596
348,5.16089733127,4.7093812759
349,5.27042648712,4.79186812764
350,11.3499750405,10.4724565563
351,11.0620983085,10.1768006024
352,11.6948618728,10.7682512247
353,6.40951464131,5.91266950228
354,7.17551631404,6.54489197105
355,14.6856717826,13.5284040641
356,16.5187412031,15.1380785694
357,3.76393195636,3.42108276954
358,9.30700034273,8.48959940969
359,32.0896222089,29.4185774243
360,25.143481993,23.0423800331
361,8.04568096867,7.40654603654
362,33.4075656236,30.6342846219
363,22.9750341195,21.0806950649
364,15.3622002295,14.1205571957
365,17.2707247012,15.8614749168
366,28.1010741851,25.7539125449
367,14.8214009915,13.6020033402
368,7.83617239853,7.22054712111
369,8.80190707167,8.1212856359
370,17.6457069265,16.1889336385
371,18.8129925276,17.2369127325
372,6.50196453959,5.94027474418
373,8.75537796433,7.99997107086
374,8.40407828226,7.66062234158
375,14.4996137488,13.3225881307
376,3.45964569265,3.14214245332
377,10.177012817,9.29604531622
378,17.4337672493,16.0077304672
379,7.9695416674,7.26452637528
380,7.70926374328,7.04379460834
381,17.4128160699,15.9585423302
382,8.499092372,7.77297085759
383,7.9321180245,7.24225354123
384,16.4361909767,15.1549489279
385,10.5575599821,9.74095518879
386,11.700952428,10.7530090619
387,9.0011107641,8.26576007291
388,7.34773052847,6.69272440494
389,14.7852037325,13.5865019799
390,14.2093352675,13.0923802067
391,6.52118950643,5.94972032845
392,18.3873612686,16.8593767805
393,8.1073315421,7.39605346326
394,28.0120776687,25.6866794851
395,5.77236924948,5.26359213196
396,8.89602076892,8.11755064097
397,18.9869137355,17.4234785672
398,10.9172319823,9.96803613582
399,9.21020416339,8.46017643067
400,16.5423021815,15.1922326985
401,4.09687449928,3.72071382075
402,36.2838738399,33.2550630871
403,18.5747330418,17.0595257027
404,16.0977086306,14.8276453976
405,5.43258150801,4.93959926028
406,21.6131010567,19.8160263244
407,11.5605133115,10.6665422298
408,8.13800906731,7.50678211393
409,9.25124174135,8.51996533752
410,5.8692139741,5.35887729838
411,8.82072741724,8.12761728931
412,16.6711429608,15.2805365958
413,16.9729923197,15.622448812
414,30.9219210556,28.4054222548
415,10.3291599052,9.52744651791
416,18.9385540444,17.401390462
417,10.7497157587,9.89884076797
418,12.3477050478,11.3803102685
419,17.3541150403,15.9170555601
420,7.50204404131,6.90991057644
421,9.2372345652,8.43071312746
422,9.91528443068,9.14735953595
423,13.4499867074,12.3553901712
424,13.616732466,12.4629649132
425,6.0519481356,5.51797683753
426,6.80658106199,6.27961178867
427,7.83423508571,7.13555860751
428,11.3032621864,10.3215931591
429,9.12370070211,8.41465022874
430,25.1282929084,23.0283923495
431,21.8176988179,20.0305344531
432,3.4958787623,3.17072324519
433,11.6992811904,10.7715331912
434,15.3813703956,14.1610784009
435,18.3416047816,16.8192072745
436,21.7205346371,19.9592943855
437,24.2589373113,22.2214550086
438,5.36553936444,4.88566499161
439,25.759059721,23.6077577521
440,12.0485498875,11.0989081674
441,9.08264217694,8.37983085639
442,12.0181836504,11.0690751774
443,10.0092364913,9.20465206597
444,12.7910144313,11.7511627007
445,7.96168519924,7.33903192656
446,11.0021471002,10.0809879727
447,17.8346476979,16.4223074734
448,8.83916797397,8.07425240297
449,9.78667286071,9.02972654038
450,9.5201997983,8.70766494195
451,5.27997658188,4.80229180402
452,7.44925083546,6.78802246002
453,22.7843948386,20.8908893999
454,16.2175967692,14.8776627122
455,5.26611809809,4.80097733725
456,11.9883787472,11.0560739688
457,16.7876832985,15.4300798144
458,14.8802585364,13.6421939391
459,10.9339446505,10.0818129127
460,4.48761483316,4.08111737377
461,14.5971665519,13.4547481009
462,3.37350734277,3.04708902523
463,7.25972581078,6.62771181061
464,12.5010467429,11.5124022825
465,4.48739420227,4.07842890315
